Sample	Type	Household	Household_code_name	Area	Room	SurfaceTouchFrequency	SurfaceDeposition	Occupancy	Individual	Window	Temperature	Humidity
FT-3Z-LF	Skin	Fo Tan	FT	Left Forearm	NA	NA	NA	Low	FT 3Z	Closed	NA	NA
FT-3Z-LP	Skin	Fo Tan	FT	Left Palm	NA	NA	NA	Low	FT 3Z	Closed	NA	NA
FT-3Z-RF	Skin	Fo Tan	FT	Right Forearm	NA	NA	NA	Low	FT 3Z	Closed	NA	NA
FT-3Z-RP	Skin	Fo Tan	FT	Right Palm	NA	NA	NA	Low	FT 3Z	Closed	NA	NA
FT1BRWIN	Air	Fo Tan	FT	Bedroom	Bedroom	NA	NA	Low	NA	Closed	19.85	34.2
FT1KCWIN	Air	Fo Tan	FT	Kitchen	Kitchen	NA	NA	Low	NA	Closed	19.85	34.2
FT1LRWIN	Air	Fo Tan	FT	Living Room	Living Room	NA	NA	Low	NA	Closed	19.85	34.2
FT1TLWIN	Air	Fo Tan	FT	Toilet	Bathroom	NA	NA	Low	NA	Closed	19.85	34.2
FT2BHBWIN	Surface	Fo Tan	FT	Bed Headboard	Bedroom	High	Low	Low	NA	Closed	NA	NA
FT2BLKWIN	Surface	Fo Tan	FT	Blanket	Bedroom	High	High	Low	NA	Closed	NA	NA
FT2FDSWIN	Surface	Fo Tan	FT	Fridge Door Seal	Kitchen	Low	Low	Low	NA	Closed	NA	NA
FT2KVTWIN	Surface	Fo Tan	FT	Kitchen Ventilator	Kitchen	Low	High	Low	NA	Closed	NA	NA
FT2RMCWIN	Surface	Fo Tan	FT	Remote Control	Living Room	High	Low	Low	NA	Closed	NA	NA
FT2SCRWIN	Surface	Fo Tan	FT	TV Screen	Living Room	Low	High	Low	NA	Closed	NA	NA
FT2SWCWIN	Surface	Fo Tan	FT	Shower Curtain	Bathroom	High	Low	Low	NA	Closed	NA	NA
FT2TFBWIN	Surface	Fo Tan	FT	Toilet Flush Button	Bathroom	High	Low	Low	NA	Closed	NA	NA
HFC-3Z-FOH	Skin	Heng Fa Chuen	HFC	Forehead	NA	NA	NA	Low	HFC 3Z	Open	NA	NA
HFC-3Z-LF	Skin	Heng Fa Chuen	HFC	Left Forearm	NA	NA	NA	Low	HFC 3Z	Open	NA	NA
HFC-3Z-LP	Skin	Heng Fa Chuen	HFC	Left Palm	NA	NA	NA	Low	HFC 3Z	Open	NA	NA
