Sample	Type	Household	Household_code_name	Area	Room	SurfaceTouchFrequency	SurfaceDeposition	Occupancy	Individual	Window	Temperature	Humidity
SW2SCRWIN	Surface	Sai Wan	SW	TV Screen	Living Room	Low	High	Low	NA	Open	NA	NA
SW2SWCWIN	Surface	Sai Wan	SW	Shower Curtain	Bathroom	High	Low	Low	NA	Open	NA	NA
SW2TFBWIN	Surface	Sai Wan	SW	Toilet Flush Button	Bathroom	High	Low	Low	NA	Open	NA	NA
TH-3Z-FOH	Skin	Tin Hau	TH	Forehead	NA	NA	NA	Low	TH 3Z	Open	NA	NA
TH-3Z-LF	Skin	Tin Hau	TH	Left Forearm	NA	NA	NA	Low	TH 3Z	Open	NA	NA
TH-3Z-LP	Skin	Tin Hau	TH	Left Palm	NA	NA	NA	Low	TH 3Z	Open	NA	NA
TH-3Z-RF	Skin	Tin Hau	TH	Right Forearm	NA	NA	NA	Low	TH 3Z	Open	NA	NA
TH-3Z-RP	Skin	Tin Hau	TH	Right Palm	NA	NA	NA	Low	TH 3Z	Open	NA	NA
TH1BRWIN	Air	Tin Hau	TH	Bedroom	Bedroom	NA	NA	Low	NA	Open	20.95	64.6
TH1KCWIN	Air	Tin Hau	TH	Kitchen	Kitchen	NA	NA	Low	NA	Open	20.95	64.6
TH1LRWIN	Air	Tin Hau	TH	Living Room	Living Room	NA	NA	Low	NA	Open	20.95	64.6
TH1TLWIN	Air	Tin Hau	TH	Toilet	Bathroom	NA	NA	Low	NA	Open	20.95	64.6
TH2BHBWIN	Surface	Tin Hau	TH	Bed Headboard	Bedroom	High	Low	Low	NA	Open	NA	NA
TH2BLKWIN	Surface	Tin Hau	TH	Blanket	Bedroom	High	High	Low	NA	Open	NA	NA
TH2FDSWIN	Surface	Tin Hau	TH	Fridge Door Seal	Kitchen	Low	Low	Low	NA	Open	NA	NA
TH2KVTWIN	Surface	Tin Hau	TH	Kitchen Ventilator	Kitchen	Low	High	Low	NA	Open	NA	NA
TH2RMCWIN	Surface	Tin Hau	TH	Remote Control	Living Room	High	Low	Low	NA	Open	NA	NA
TH2SCRWIN	Surface	Tin Hau	TH	TV Screen	Living Room	Low	High	Low	NA	Open	NA	NA
TH2SWCWIN	Surface	Tin Hau	TH	Shower Curtain	Bathroom	High	Low	Low	NA	Open	NA	NA
TH2TFBWIN	Surface	Tin Hau	TH	Toilet Flush Button	Bathroom	High	Low	Low	NA	Open	NA	NA
TK-3X-FOH	Skin	Tai Koo	TK	Forehead	NA	NA	NA	High	TK 3X	Open	NA	NA
TK-3X-LF	Skin	Tai Koo	TK	Left Forearm	NA	NA	NA	High	TK 3X	Open	NA	NA
TK-3X-LP	Skin	Tai Koo	TK	Left Palm	NA	NA	NA	High	TK 3X	Open	NA	NA
TK-3X-RF	Skin	Tai Koo	TK	Right Forearm	NA	NA	NA	High	TK 3X	Open	NA	NA
TK-3X-RP	Skin	Tai Koo	TK	Right Palm	NA	NA	NA	High	TK 3X	Open	NA	NA
TK-3Y-FOH	Skin	Tai Koo	TK	Forehead	NA	NA	NA	High	TK 3Y	Open	NA	NA
TK-3Y-LF	Skin	Tai Koo	TK	Left Forearm	NA	NA	NA	High	TK 3Y	Open	NA	NA
TK-3Y-LP	Skin	Tai Koo	TK	Left Palm	NA	NA	NA	High	TK 3Y	Open	NA	NA
TK-3Y-RF	Skin	Tai Koo	TK	Right Forearm	NA	NA	NA	High	TK 3Y	Open	NA	NA
TK-3Y-RP	Skin	Tai Koo	TK	Right Palm	NA	NA	NA	High	TK 3Y	Open	NA	NA
TK-3Z-FOH	Skin	Tai Koo	TK	Forehead	NA	NA	NA	High	TK 3Z	Open	NA	NA
TK-3Z-LF	Skin	Tai Koo	TK	Left Forearm	NA	NA	NA	High	TK 3Z	Open	NA	NA
TK-3Z-LP	Skin	Tai Koo	TK	Left Palm	NA	NA	NA	High	TK 3Z	Open	NA	NA
TK-3Z-RF	Skin	Tai Koo	TK	Right Forearm	NA	NA	NA	High	TK 3Z	Open	NA	NA
TK-3Z-RP	Skin	Tai Koo	TK	Right Palm	NA	NA	NA	High	TK 3Z	Open	NA	NA
TK1BRWIN	Air	Tai Koo	TK	Bedroom	Bedroom	NA	NA	High	NA	Open	19.75	59.85
TK1KCWIN	Air	Tai Koo	TK	Kitchen	Kitchen	NA	NA	High	NA	Open	19.75	59.85
TK1LRWIN	Air	Tai Koo	TK	Living Room	Living Room	NA	NA	High	NA	Open	19.75	59.85
TK1TLWIN	Air	Tai Koo	TK	Toilet	Bathroom	NA	NA	High	NA	Open	19.75	59.85
TK2BHBWIN	Surface	Tai Koo	TK	Bed Headboard	Bedroom	High	Low	High	NA	Open	NA	NA
TK2BLKWIN	Surface	Tai Koo	TK	Blanket	Bedroom	High	High	High	NA	Open	NA	NA
TK2FDSWIN	Surface	Tai Koo	TK	Fridge Door Seal	Kitchen	Low	Low	High	NA	Open	NA	NA
TK2KVTWIN	Surface	Tai Koo	TK	Kitchen Ventilator	Kitchen	Low	High	High	NA	Open	NA	NA
TK2RMCWIN	Surface	Tai Koo	TK	Remote Control	Living Room	High	Low	High	NA	Open	NA	NA
TK2SCRWIN	Surface	Tai Koo	TK	TV Screen	Living Room	Low	High	High	NA	Open	NA	NA
TK2SWCWIN	Surface	Tai Koo	TK	Shower Curtain	Bathroom	High	Low	High	NA	Open	NA	NA
TK2TFBWIN	Surface	Tai Koo	TK	Toilet Flush Button	Bathroom	High	Low	High	NA	Open	NA	NA
TM-3X-FOH	Skin	Tuen Mun A	TMA	Forehead	NA	NA	NA	High	TMA 3X	Closed	NA	NA
TM-3X-LF	Skin	Tuen Mun A	TMA	Left Forearm	NA	NA	NA	High	TMA 3X	Closed	NA	NA
TM-3X-LP	Skin	Tuen Mun A	TMA	Left Palm	NA	NA	NA	High	TMA 3X	Closed	NA	NA
TM-3X-RF	Skin	Tuen Mun A	TMA	Right Forearm	NA	NA	NA	High	TMA 3X	Closed	NA	NA
TM-3X-RP	Skin	Tuen Mun A	TMA	Right Palm	NA	NA	NA	High	TMA 3X	Closed	NA	NA
TM-3Y-FOH	Skin	Tuen Mun A	TMA	Forehead	NA	NA	NA	High	TMA 3Y	Closed	NA	NA
TM-3Y-LF	Skin	Tuen Mun A	TMA	Left Forearm	NA	NA	NA	High	TMA 3Y	Closed	NA	NA
TM-3Y-LP	Skin	Tuen Mun A	TMA	Left Palm	NA	NA	NA	High	TMA 3Y	Closed	NA	NA
TM-3Y-RF	Skin	Tuen Mun A	TMA	Right Forearm	NA	NA	NA	High	TMA 3Y	Closed	NA	NA
TM-3Y-RP	Skin	Tuen Mun A	TMA	Right Palm	NA	NA	NA	High	TMA 3Y	Closed	NA	NA
TM-3Z-FOH	Skin	Tuen Mun A	TMA	Forehead	NA	NA	NA	High	TMA 3Z	Closed	NA	NA
TM-3Z-LF	Skin	Tuen Mun A	TMA	Left Forearm	NA	NA	NA	High	TMA 3Z	Closed	NA	NA
TM-3Z-LP	Skin	Tuen Mun A	TMA	Left Palm	NA	NA	NA	High	TMA 3Z	Closed	NA	NA
TM-3Z-RF	Skin	Tuen Mun A	TMA	Right Forearm	NA	NA	NA	High	TMA 3Z	Closed	NA	NA
TM-3Z-RP	Skin	Tuen Mun A	TMA	Right Palm	NA	NA	NA	High	TMA 3Z	Closed	NA	NA
TMa1BRWIN	Air	Tuen Mun A	TMA	Bedroom	Bedroom	NA	NA	High	NA	Closed	21.75	51
TMa1KCWIN	Air	Tuen Mun A	TMA	Kitchen	Kitchen	NA	NA	High	NA	Closed	21.75	51
TMa1LRWIN	Air	Tuen Mun A	TMA	Living Room	Living Room	NA	NA	High	NA	Closed	21.75	51
TMa1TLWIN	Air	Tuen Mun A	TMA	Toilet	Bathroom	NA	NA	High	NA	Closed	21.75	51
TMa2BHBWIN	Surface	Tuen Mun A	TMA	Bed Headboard	Bedroom	High	Low	High	NA	Closed	NA	NA
TMa2BLKWIN	Surface	Tuen Mun A	TMA	Blanket	Bedroom	High	High	High	NA	Closed	NA	NA
TMa2FDSWIN	Surface	Tuen Mun A	TMA	Fridge Door Seal	Kitchen	Low	Low	High	NA	Closed	NA	NA
TMa2KVTWIN	Surface	Tuen Mun A	TMA	Kitchen Ventilator	Kitchen	Low	High	High	NA	Closed	NA	NA
TMa2RMCWIN	Surface	Tuen Mun A	TMA	Remote Control	Living Room	High	Low	High	NA	Closed	NA	NA
TMa2SCRWIN	Surface	Tuen Mun A	TMA	TV Screen	Living Room	Low	High	High	NA	Closed	NA	NA
TMa2SWCWIN	Surface	Tuen Mun A	TMA	Shower Curtain	Bathroom	High	Low	High	NA	Closed	NA	NA
TMa2TFBWIN	Surface	Tuen Mun A	TMA	Toilet Flush Button	Bathroom	High	Low	High	NA	Closed	NA	NA
TMB-3W-FOH	Skin	Tuen Mun B	TMB	Forehead	NA	NA	NA	High	TMB 3W	Open	NA	NA
TMB-3W-LF	Skin	Tuen Mun B	TMB	Left Forearm	NA	NA	NA	High	TMB 3W	Open	NA	NA
TMB-3W-LP	Skin	Tuen Mun B	TMB	Left Palm	NA	NA	NA	High	TMB 3W	Open	NA	NA
TMB-3W-RF	Skin	Tuen Mun B	TMB	Right Forearm	NA	NA	NA	High	TMB 3W	Open	NA	NA
TMB-3W-RP	Skin	Tuen Mun B	TMB	Right Palm	NA	NA	NA	High	TMB 3W	Open	NA	NA
TMB-3X-FOH	Skin	Tuen Mun B	TMB	Forehead	NA	NA	NA	High	TMB 3X	Open	NA	NA
TMB-3X-LF	Skin	Tuen Mun B	TMB	Left Forearm	NA	NA	NA	High	TMB 3X	Open	NA	NA
TMB-3X-LP	Skin	Tuen Mun B	TMB	Left Palm	NA	NA	NA	High	TMB 3X	Open	NA	NA
TMB-3X-RF	Skin	Tuen Mun B	TMB	Right Forearm	NA	NA	NA	High	TMB 3X	Open	NA	NA
TMB-3X-RP	Skin	Tuen Mun B	TMB	Right Palm	NA	NA	NA	High	TMB 3X	Open	NA	NA
TMB-3Y-FOH	Skin	Tuen Mun B	TMB	Forehead	NA	NA	NA	High	TMB 3Y	Open	NA	NA
TMB-3Y-LF	Skin	Tuen Mun B	TMB	Left Forearm	NA	NA	NA	High	TMB 3Y	Open	NA	NA
TMB-3Y-LP	Skin	Tuen Mun B	TMB	Left Palm	NA	NA	NA	High	TMB 3Y	Open	NA	NA
TMB-3Y-RF	Skin	Tuen Mun B	TMB	Right Forearm	NA	NA	NA	High	TMB 3Y	Open	NA	NA
TMB-3Y-RP	Skin	Tuen Mun B	TMB	Right Palm	NA	NA	NA	High	TMB 3Y	Open	NA	NA
TMb1BRWIN	Air	Tuen Mun B	TMB	Bedroom	Bedroom	NA	NA	High	NA	Open	19.55	44.95
TMb1KCWIN	Air	Tuen Mun B	TMB	Kitchen	Kitchen	NA	NA	High	NA	Open	19.55	44.95
TMb1LRWIN	Air	Tuen Mun B	TMB	Living Room	Living Room	NA	NA	High	NA	Open	19.55	44.95
TMb1TLWIN	Air	Tuen Mun B	TMB	Toilet	Bathroom	NA	NA	High	NA	Open	19.55	44.95
TMb2BHBWIN	Surface	Tuen Mun B	TMB	Bed Headboard	Bedroom	High	Low	High	NA	Open	NA	NA
TMb2BLKWIN	Surface	Tuen Mun B	TMB	Blanket	Bedroom	High	High	High	NA	Open	NA	NA
TMb2FDSWIN	Surface	Tuen Mun B	TMB	Fridge Door Seal	Kitchen	Low	Low	High	NA	Open	NA	NA
TMb2KVTWIN	Surface	Tuen Mun B	TMB	Kitchen Ventilator	Kitchen	Low	High	High	NA	Open	NA	NA
TMb2RMCWIN	Surface	Tuen Mun B	TMB	Remote Control	Living Room	High	Low	High	NA	Open	NA	NA
TMb2SCRWIN	Surface	Tuen Mun B	TMB	TV Screen	Living Room	Low	High	High	NA	Open	NA	NA
TMb2SWCWIN	Surface	Tuen Mun B	TMB	Shower Curtain	Bathroom	High	Low	High	NA	Open	NA	NA
TMb2TFBWIN	Surface	Tuen Mun B	TMB	Toilet Flush Button	Bathroom	High	Low	High	NA	Open	NA	NA
TY-3W-FOH	Skin	Tsing Yi	TY	Forehead	NA	NA	NA	High	TY 3W	Open	NA	NA
TY-3W-LF	Skin	Tsing Yi	TY	Left Forearm	NA	NA	NA	High	TY 3W	Open	NA	NA
TY-3W-LP	Skin	Tsing Yi	TY	Left Palm	NA	NA	NA	High	TY 3W	Open	NA	NA
TY-3W-RF	Skin	Tsing Yi	TY	Right Forearm	NA	NA	NA	High	TY 3W	Open	NA	NA
TY-3W-RP	Skin	Tsing Yi	TY	Right Palm	NA	NA	NA	High	TY 3W	Open	NA	NA
TY-3X-FOH	Skin	Tsing Yi	TY	Forehead	NA	NA	NA	High	TY 3X	Open	NA	NA
TY-3X-LF	Skin	Tsing Yi	TY	Left Forearm	NA	NA	NA	High	TY 3X	Open	NA	NA
TY-3X-LP	Skin	Tsing Yi	TY	Left Palm	NA	NA	NA	High	TY 3X	Open	NA	NA
TY-3X-RF	Skin	Tsing Yi	TY	Right Forearm	NA	NA	NA	High	TY 3X	Open	NA	NA
TY-3X-RP	Skin	Tsing Yi	TY	Right Palm	NA	NA	NA	High	TY 3X	Open	NA	NA
TY-3Y-FOH	Skin	Tsing Yi	TY	Forehead	NA	NA	NA	High	TY 3Y	Open	NA	NA
TY-3Y-LF	Skin	Tsing Yi	TY	Left Forearm	NA	NA	NA	High	TY 3Y	Open	NA	NA
TY-3Y-LP	Skin	Tsing Yi	TY	Left Palm	NA	NA	NA	High	TY 3Y	Open	NA	NA
TY-3Y-RF	Skin	Tsing Yi	TY	Right Forearm	NA	NA	NA	High	TY 3Y	Open	NA	NA
TY-3Y-RP	Skin	Tsing Yi	TY	Right Palm	NA	NA	NA	High	TY 3Y	Open	NA	NA
TY-3Z-FOH	Skin	Tsing Yi	TY	Forehead	NA	NA	NA	High	TY 3Z	Open	NA	NA
TY-3Z-LF	Skin	Tsing Yi	TY	Left Forearm	NA	NA	NA	High	TY 3Z	Open	NA	NA
TY-3Z-LP	Skin	Tsing Yi	TY	Left Palm	NA	NA	NA	High	TY 3Z	Open	NA	NA
TY-3Z-RF	Skin	Tsing Yi	TY	Right Forearm	NA	NA	NA	High	TY 3Z	Open	NA	NA
TY-3Z-RP	Skin	Tsing Yi	TY	Right Palm	NA	NA	NA	High	TY 3Z	Open	NA	NA
TY1BRWIN	Air	Tsing Yi	TY	Bedroom	Bedroom	NA	NA	High	NA	Open	17.75	68.7
TY1KCWIN	Air	Tsing Yi	TY	Kitchen	Kitchen	NA	NA	High	NA	Open	17.75	68.7
TY1LRWIN	Air	Tsing Yi	TY	Living Room	Living Room	NA	NA	High	NA	Open	17.75	68.7
TY1TLWIN	Air	Tsing Yi	TY	Toilet	Bathroom	NA	NA	High	NA	Open	17.75	68.7
TY2BHBWIN	Surface	Tsing Yi	TY	Bed Headboard	Bedroom	High	Low	High	NA	Open	NA	NA
TY2BLKWIN	Surface	Tsing Yi	TY	Blanket	Bedroom	High	High	High	NA	Open	NA	NA
TY2FDSWIN	Surface	Tsing Yi	TY	Fridge Door Seal	Kitchen	Low	Low	High	NA	Open	NA	NA
TY2KVTWIN	Surface	Tsing Yi	TY	Kitchen Ventilator	Kitchen	Low	High	High	NA	Open	NA	NA
TY2RMCWIN	Surface	Tsing Yi	TY	Remote Control	Living Room	High	Low	High	NA	Open	NA	NA
TY2SCRWIN	Surface	Tsing Yi	TY	TV Screen	Living Room	Low	High	High	NA	Open	NA	NA
TY2SWCWIN	Surface	Tsing Yi	TY	Shower Curtain	Bathroom	High	Low	High	NA	Open	NA	NA
TY2TFBWIN	Surface	Tsing Yi	TY	Toilet Flush Button	Bathroom	High	Low	High	NA	Open	NA	NA
WKS-3U-FOH	Skin	Wu Kai Sha	WKS	Forehead	NA	NA	NA	High	WKS 3U	Closed	NA	NA
WKS-3U-LF	Skin	Wu Kai Sha	WKS	Left Forearm	NA	NA	NA	High	WKS 3U	Closed	NA	NA
WKS-3U-LP	Skin	Wu Kai Sha	WKS	Left Palm	NA	NA	NA	High	WKS 3U	Closed	NA	NA
WKS-3U-RF	Skin	Wu Kai Sha	WKS	Right Forearm	NA	NA	NA	High	WKS 3U	Closed	NA	NA
WKS-3U-RP	Skin	Wu Kai Sha	WKS	Right Palm	NA	NA	NA	High	WKS 3U	Closed	NA	NA
WKS-3V-FOH	Skin	Wu Kai Sha	WKS	Forehead	NA	NA	NA	High	WKS 3V	Closed	NA	NA
WKS-3V-LF	Skin	Wu Kai Sha	WKS	Left Forearm	NA	NA	NA	High	WKS 3V	Closed	NA	NA
WKS-3V-LP	Skin	Wu Kai Sha	WKS	Left Palm	NA	NA	NA	High	WKS 3V	Closed	NA	NA
WKS-3V-RF	Skin	Wu Kai Sha	WKS	Right Forearm	NA	NA	NA	High	WKS 3V	Closed	NA	NA
WKS-3V-RP	Skin	Wu Kai Sha	WKS	Right Palm	NA	NA	NA	High	WKS 3V	Closed	NA	NA
WKS-3W-FOH	Skin	Wu Kai Sha	WKS	Forehead	NA	NA	NA	High	WKS 3W	Closed	NA	NA
WKS-3W-LF	Skin	Wu Kai Sha	WKS	Left Forearm	NA	NA	NA	High	WKS 3W	Closed	NA	NA
WKS-3W-LP	Skin	Wu Kai Sha	WKS	Left Palm	NA	NA	NA	High	WKS 3W	Closed	NA	NA
WKS-3W-RF	Skin	Wu Kai Sha	WKS	Right Forearm	NA	NA	NA	High	WKS 3W	Closed	NA	NA
WKS-3W-RP	Skin	Wu Kai Sha	WKS	Right Palm	NA	NA	NA	High	WKS 3W	Closed	NA	NA
WKS-3X-FOH	Skin	Wu Kai Sha	WKS	Forehead	NA	NA	NA	High	WKS 3X	Closed	NA	NA
WKS-3X-LF	Skin	Wu Kai Sha	WKS	Left Forearm	NA	NA	NA	High	WKS 3X	Closed	NA	NA
WKS-3X-LP	Skin	Wu Kai Sha	WKS	Left Palm	NA	NA	NA	High	WKS 3X	Closed	NA	NA
WKS-3X-RF	Skin	Wu Kai Sha	WKS	Right Forearm	NA	NA	NA	High	WKS 3X	Closed	NA	NA
WKS-3X-RP	Skin	Wu Kai Sha	WKS	Right Palm	NA	NA	NA	High	WKS 3X	Closed	NA	NA
WKS-3Y-FOH	Skin	Wu Kai Sha	WKS	Forehead	NA	NA	NA	High	WKS 3Y	Closed	NA	NA
WKS-3Y-LF	Skin	Wu Kai Sha	WKS	Left Forearm	NA	NA	NA	High	WKS 3Y	Closed	NA	NA
WKS-3Y-LP	Skin	Wu Kai Sha	WKS	Left Palm	NA	NA	NA	High	WKS 3Y	Closed	NA	NA
WKS-3Y-RF	Skin	Wu Kai Sha	WKS	Right Forearm	NA	NA	NA	High	WKS 3Y	Closed	NA	NA
WKS-3Y-RP	Skin	Wu Kai Sha	WKS	Right Palm	NA	NA	NA	High	WKS 3Y	Closed	NA	NA
WKS1BRWIN	Air	Wu Kai Sha	WKS	Bedroom	Bedroom	NA	NA	High	NA	Closed	18.65	58.05
WKS1KCWIN	Air	Wu Kai Sha	WKS	Kitchen	Kitchen	NA	NA	High	NA	Closed	18.65	58.05
WKS1LRWIN	Air	Wu Kai Sha	WKS	Living Room	Living Room	NA	NA	High	NA	Closed	18.65	58.05
WKS1TLWIN	Air	Wu Kai Sha	WKS	Toilet	Bathroom	NA	NA	High	NA	Closed	18.65	58.05
WKS2BHBWIN	Surface	Wu Kai Sha	WKS	Bed Headboard	Bedroom	High	Low	High	NA	Closed	NA	NA
WKS2BLKWIN	Surface	Wu Kai Sha	WKS	Blanket	Bedroom	High	High	High	NA	Closed	NA	NA
WKS2FDSWIN	Surface	Wu Kai Sha	WKS	Fridge Door Seal	Kitchen	Low	Low	High	NA	Closed	NA	NA
WKS2KVTWIN	Surface	Wu Kai Sha	WKS	Kitchen Ventilator	Kitchen	Low	High	High	NA	Closed	NA	NA
WKS2RMCWIN	Surface	Wu Kai Sha	WKS	Remote Control	Living Room	High	Low	High	NA	Closed	NA	NA
WKS2SCRWIN	Surface	Wu Kai Sha	WKS	TV Screen	Living Room	Low	High	High	NA	Closed	NA	NA
WKS2SWCWIN	Surface	Wu Kai Sha	WKS	Shower Curtain	Bathroom	High	Low	High	NA	Closed	NA	NA
WKS2TFBWIN	Surface	Wu Kai Sha	WKS	Toilet Flush Button	Bathroom	High	Low	High	NA	Closed	NA	NA
WTS-3V-FOH	Skin	Wong Tai Sin	WTS	Forehead	NA	NA	NA	High	WTS 3V	Open	NA	NA
WTS-3V-LF	Skin	Wong Tai Sin	WTS	Left Forearm	NA	NA	NA	High	WTS 3V	Open	NA	NA
WTS-3V-LP	Skin	Wong Tai Sin	WTS	Left Palm	NA	NA	NA	High	WTS 3V	Open	NA	NA
WTS-3V-RF	Skin	Wong Tai Sin	WTS	Right Forearm	NA	NA	NA	High	WTS 3V	Open	NA	NA
WTS-3V-RP	Skin	Wong Tai Sin	WTS	Right Palm	NA	NA	NA	High	WTS 3V	Open	NA	NA
WTS-3W-FOH	Skin	Wong Tai Sin	WTS	Forehead	NA	NA	NA	High	WTS 3W	Open	NA	NA
WTS-3W-LF	Skin	Wong Tai Sin	WTS	Left Forearm	NA	NA	NA	High	WTS 3W	Open	NA	NA
WTS-3W-LP	Skin	Wong Tai Sin	WTS	Left Palm	NA	NA	NA	High	WTS 3W	Open	NA	NA
WTS-3W-RF	Skin	Wong Tai Sin	WTS	Right Forearm	NA	NA	NA	High	WTS 3W	Open	NA	NA
WTS-3W-RP	Skin	Wong Tai Sin	WTS	Right Palm	NA	NA	NA	High	WTS 3W	Open	NA	NA
WTS-3Y-FOH	Skin	Wong Tai Sin	WTS	Forehead	NA	NA	NA	High	WTS 3Y	Open	NA	NA
WTS-3Y-LF	Skin	Wong Tai Sin	WTS	Left Forearm	NA	NA	NA	High	WTS 3Y	Open	NA	NA
WTS-3Y-LP	Skin	Wong Tai Sin	WTS	Left Palm	NA	NA	NA	High	WTS 3Y	Open	NA	NA
WTS-3Y-RF	Skin	Wong Tai Sin	WTS	Right Forearm	NA	NA	NA	High	WTS 3Y	Open	NA	NA
WTS-3Y-RP	Skin	Wong Tai Sin	WTS	Right Palm	NA	NA	NA	High	WTS 3Y	Open	NA	NA
WTS-3Z-FOH	Skin	Wong Tai Sin	WTS	Forehead	NA	NA	NA	High	WTS 3Z	Open	NA	NA
WTS-3Z-LF	Skin	Wong Tai Sin	WTS	Left Forearm	NA	NA	NA	High	WTS 3Z	Open	NA	NA
WTS-3Z-LP	Skin	Wong Tai Sin	WTS	Left Palm	NA	NA	NA	High	WTS 3Z	Open	NA	NA
WTS-3Z-RF	Skin	Wong Tai Sin	WTS	Right Forearm	NA	NA	NA	High	WTS 3Z	Open	NA	NA
WTS-3Z-RP	Skin	Wong Tai Sin	WTS	Right Palm	NA	NA	NA	High	WTS 3Z	Open	NA	NA
WTS1BRWIN	Air	Wong Tai Sin	WTS	Bedroom	Bedroom	NA	NA	High	NA	Open	18.2	65.45
WTS1KCWIN	Air	Wong Tai Sin	WTS	Kitchen	Kitchen	NA	NA	High	NA	Open	18.2	65.45
WTS1LRWIN	Air	Wong Tai Sin	WTS	Living Room	Living Room	NA	NA	High	NA	Open	18.2	65.45
WTS1TLWIN	Air	Wong Tai Sin	WTS	Toilet	Bathroom	NA	NA	High	NA	Open	18.2	65.45
WTS2BHBWIN	Surface	Wong Tai Sin	WTS	Bed Headboard	Bedroom	High	Low	High	NA	Open	NA	NA
WTS2BLKWIN	Surface	Wong Tai Sin	WTS	Blanket	Bedroom	High	High	High	NA	Open	NA	NA
WTS2FDSWIN	Surface	Wong Tai Sin	WTS	Fridge Door Seal	Kitchen	Low	Low	High	NA	Open	NA	NA
WTS2KVTWIN	Surface	Wong Tai Sin	WTS	Kitchen Ventilator	Kitchen	Low	High	High	NA	Open	NA	NA
WTS2RMCWIN	Surface	Wong Tai Sin	WTS	Remote Control	Living Room	High	Low	High	NA	Open	NA	NA
WTS2SCRWIN	Surface	Wong Tai Sin	WTS	TV Screen	Living Room	Low	High	High	NA	Open	NA	NA
WTS2SWCWIN	Surface	Wong Tai Sin	WTS	Shower Curtain	Bathroom	High	Low	High	NA	Open	NA	NA
WTS2TFBWIN	Surface	Wong Tai Sin	WTS	Toilet Flush Button	Bathroom	High	Low	High	NA	Open	NA	NA
